created year : 2020,created date : 430,number of matches : 1949,number of records : 0,year : 2019,othello size : 8,match type : 0,depth : 24,padding : 0,
tournament id,dark-player id,light-player id,score,theoretical score,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
283,3747,2349,45,47,5-6,6-4,3-3,5-7,6-6,4-6,3-6,3-4,6-5,3-5,4-7,7-5,6-8,6-7,7-6,3-8,4-8,8-6,7-4,5-8,2-8,8-3,5-3,4-3,2-5,6-3,2-3,2-4,1-3,3-2,4-1,2-1,7-8,1-6,1-4,3-7,2-6,2-7,3-1,1-5,1-1,4-2,5-2,6-2,7-1,5-1,6-1,7-2,8-1,7-3,8-2,8-4,8-5,8-7,2-2,1-2,8-8,7-7,1-7,1-8
283,2358,2910,38,36,5-6,6-6,6-5,4-6,3-5,5-3,4-3,7-5,6-3,2-5,4-7,3-6,5-7,6-4,7-4,5-2,3-7,7-6,6-7,3-3,3-4,2-4,6-2,8-4,4-1,4-2,7-3,6-1,3-1,3-2,2-1,2-6,2-3,7-1,8-3,6-8,8-6,8-5,5-8,4-8,1-4,1-5,2-8,1-3,2-2,3-8,7-8,7-7,5-1,7-2,8-1,8-2,1-2,1-1,1-7,1-6,2-7,1-8,8-8,8-7
283,3747,2358,32,40,5-6,6-4,3-3,3-4,4-3,4-6,6-6,3-6,6-5,7-5,7-6,5-3,6-2,4-2,5-1,5-7,3-5,6-3,3-2,7-4,4-7,2-5,2-4,5-2,8-5,2-6,2-3,6-1,8-4,8-3,6-8,3-1,7-1,8-6,7-3,1-5,1-3,1-4,3-7,1-2,1-7,3-8,4-8,7-2,6-7,1-6,1-1,7-7,4-1,8-1,2-7,5-8,2-8,1-8,7-8,8-8,8-7,2-2,2-1,8-2
283,2358,2910,49,35,5-6,6-6,6-5,4-6,3-5,5-3,4-3,7-5,6-3,2-5,4-7,3-6,5-7,6-4,7-4,5-2,3-7,7-6,6-7,3-3,8-4,3-4,2-6,1-6,4-2,4-1,2-7,8-3,7-3,6-2,8-5,8-6,7-2,5-8,6-1,8-1,5-1,1-8,6-8,8-2,7-1,7-8,4-8,3-8,2-8,7-7,8-8,1-4,1-5,8-7,1-3,2-3,2-4,2-2,3-2,2-1,3-1,1-7,1-1,1-2
283,2910,3747,51,33,5-6,6-6,6-5,4-6,5-7,7-5,7-4,6-4,3-6,6-7,4-7,7-6,8-4,8-5,8-6,3-8,3-7,8-3,8-2,7-7,3-5,2-8,7-3,2-4,2-5,1-5,4-3,5-3,3-4,6-3,6-2,4-2,5-2,2-3,3-3,2-6,3-2,2-2,1-3,1-4,1-1,1-2,2-7,5-1,1-6,5-8,4-8,2-1,3-1,4-1,6-1,1-8,1-7,6-8,8-8,7-1,8-7,7-2,8-1,7-8
283,2349,2910,33,32,5-6,6-6,6-5,4-6,3-3,6-4,3-6,5-3,7-5,7-4,5-7,3-4,4-7,3-5,4-3,3-7,6-2,4-2,2-4,3-8,5-2,7-6,7-3,6-3,6-7,6-8,2-3,2-5,4-8,7-8,1-6,5-8,3-1,5-1,6-1,4-1,3-2,8-3,2-6,2-2,1-1,2-1,8-5,8-6,8-4,1-2,1-3,7-7,8-8,8-7,2-8,8-2,8-1,1-5,1-4,1-7,1-8,2-7,7-2,7-1
283,2910,3028,48,45,5-6,6-4,5-3,4-6,3-5,6-3,3-4,6-6,6-5,7-4,3-7,4-3,7-5,3-3,4-7,2-4,7-6,2-6,8-3,8-5,1-5,3-6,2-5,4-8,3-8,2-8,2-3,1-6,5-7,5-8,6-8,7-8,6-7,8-6,3-2,1-4,1-3,1-2,4-2,3-1,5-1,2-2,5-2,4-1,1-1,2-1,1-7,7-7,6-2,2-7,1-8,7-1,8-8,8-7,6-1,7-3,8-2,7-2,8-1,8-4
283,2349,3747,27,27,5-6,6-6,6-5,4-6,3-3,4-3,3-4,6-4,5-3,6-3,7-4,8-3,3-6,7-3,7-5,8-4,5-7,6-8,3-7,4-7,4-8,3-5,2-6,3-8,2-8,2-5,1-6,1-4,2-4,5-2,6-1,4-1,6-2,4-2,3-2,7-2,7-6,7-1,8-1,8-2,6-7,5-1,3-1,1-3,2-3,7-8,8-6,8-5,7-7,1-2,2-2,1-5,1-1,8-8,8-7,5-8,2-7,1-8,1-7,2-1
283,3747,3028,27,23,5-6,6-6,6-5,4-6,5-7,7-5,3-5,6-7,3-6,6-4,7-6,3-4,8-4,5-8,4-3,7-4,6-3,5-3,8-3,3-2,4-7,7-3,4-2,3-3,5-2,2-6,2-5,2-3,2-4,8-6,1-3,4-1,5-1,6-1,4-8,3-8,7-8,1-6,3-7,6-2,3-1,2-1,8-2,1-5,8-5,7-7,1-4,1-2,2-7,8-1,8-8,8-7,7-1,7-2,1-1,2-8,2-2,1-7,1-8,6-8
283,2349,3746,32,32,5-6,6-4,3-3,3-4,4-3,4-6,6-6,4-2,3-6,6-5,3-5,5-7,5-2,3-2,5-3,4-7,7-4,7-3,6-3,2-6,6-7,2-5,4-1,7-6,5-8,7-5,2-4,3-7,1-5,5-1,3-1,6-2,1-6,4-8,3-8,1-3,1-4,1-7,6-8,2-7,7-7,2-3,2-2,2-8,1-8,1-1,8-7,8-6,8-5,8-4,6-1,8-8,7-8,2-1,8-3,7-1,7-2,8-2,8-1,1-2
201,2255,3740,61,53,5-6,6-6,6-5,4-6,3-5,5-3,4-3,3-4,3-6,2-5,2-6,4-7,3-3,2-4,1-4,1-6,1-5,6-4,6-3,2-3,1-3,4-2,5-2,3-2,4-1,6-1,3-1,5-1,1-7,2-1,7-4,8-4,3-7,3-8,5-8,6-2,5-7,2-7,6-7,4-8,7-5,7-6,1-8,6-8,2-8,1-2,1-1,2-2,7-2,7-3,8-3,8-2,7-1,8-6,8-5,8-1,8-7,7-7,7-8,0-0
201,3740,2506,22,22,5-6,6-4,5-3,4-6,3-5,6-3,6-5,5-7,6-7,6-6,7-5,7-6,4-8,3-6,8-5,7-4,4-3,5-8,6-8,4-7,3-8,2-5,3-4,6-2,3-3,4-2,3-2,5-2,2-3,2-4,5-1,6-1,4-1,7-3,7-1,8-4,1-6,1-5,3-7,8-6,1-3,1-4,2-6,7-7,8-2,8-3,8-8,8-1,7-2,7-8,2-2,3-1,2-1,1-1,1-2,8-7,2-7,1-7,1-8,2-8
